Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1, D4, D6",3,"Red LED"
"D2",1,"Yellow LED"
"D3, D5, D7",3,"Green LED"
"R1, R2, R3, R4, R5, R6, R7",7,"330 Ω Resistor"
"S1",1," Pushbutton"
